Corridore,Squadra,Prezzo
Jasper PHILIPSEN,Tom F,55
Juan Sebastian MOLANO,Tom F,2
Kaden GROVES,Bicio,25
Thibaut NYS,Gino,30
Sergio SAMITIER,,
Andreas LEKNESSUND,Nele,3
Toms SKUJINS,Tom N,16
Edoardo ZAMBANINI,Loreng,5
Casper PEDERSEN,,
Adam YATES,Nele,20
Marius MAYRHOFER,,
David GAUDU,Bicio,12
Baptiste TRONCHON,Sambu,1
Per Strand HAGENES,Tom N,1
Milan FRETIN,Bicio,3
Simon YATES,,
Rory TOWNSEND,Sambu,1
Clement RUSSO,,
Ivan GARCIA CORTINA,Peba,2
Aleksandr VLASOV,Tom F,2
Felix ENGELHARDT,,
Mads PEDERSEN,Tom F,100
Thibaud GRUEL,,
Remi CAVAGNA,,
David DE LA CRUZ,,
Fernando GAVIRIA,Sambu,1
Alberto DAINESE,Bicio,2
Victor LANGELLOTTI,Sambu,1
Juan AYUSO,Bicio,80
Ben TURNER,Gino,6
Luke LAMPERTI,Bicio,2
Harold TEJADA,Bicio,3
Daan HOOLE,,
Kelland O'BRIEN,,
Attila VALTER,Lorengo,2
Sepp KUSS,Cisco,6
Nelson OLIVEIRA,,
Lenny MARTINEZ,Loreng,25
Phil BAUHAUS,Cisco,6
Andreas FOLDAGER,,
Yves LAMPAERT,,
Johannes STAUNE-MITTET,Tom N,1
FIlippo ZANA,sambu,1
Diego ULISSI,Sambu,1
Sam BENNETT,Sambu,1
Anthon CHARMING,,
Georg STEINHAUSER,Samu,1
Mauri VANSEVENANT,sambu,1
Fabio VAN DEN BOSSCHE,,
Marijn VAN DEN BERG,Loreng,2
Fredrik DVERSNES,,
Mikkel BJERG,sambu,1
Benoit COSNEFROY,Peba,1
Pello BILBAO,Tom N,11
Matthew BRENNAN,Bicio,55
Rasmus Sojberg PEDERSEN,,
Javier ROMO,Gino,4
Florian VERMEERSH,Nele,2
Matthew RICCITELLO,Cisco,27
Fabio CHRISTEN,,
Gianni VERMEERSH,Nele,2
Wout VAN AERT,Tom F,50
Stian FREDHEIM,,
Pascal ACKERMANN,Sambu,1
Jakub OMRZEL,Loreng,1
Brandon MCNULTY,Gino,26
Ethan HAYTER,Tom F,1
Igor ARRIETA,,
Alex LAURANCE,Tom F,3
Ben SWIFT,,
Max WALKER,,
Stefano OLDANI,,
Dylan GROENEWEGEN,Sambu,1
Jan TRATNIK,Gino,1
Stanislaw ANIOLKOWSKI,Sambu,1
Ben HEALY,Bicio,49
Gianmarco GAROFOLI,Nele,1
Tobias FOSS,,
Cian UIJTDEBROEKS,Loreng,15
Carlos RODRIGUEZ,Peba,20
Eddie DUNBAR,Sambu,1
Chris HARPER,Sambu,1
Joshua TARLING,Bicio,8
Giulio CICCONE,Gino,31
Jordi MEEUS,Loreng,12
Santiago BUITRAGO,Tom F,6
Marc SOLER,Sambu,1
Samuel WATSON,Bicio,5
Mathieu BURGAUDEAU,,
Mike TEUNISSEN,,
Jake STEWART,,
Roger ADRÌA,Sambu,1
Matteo JORGENSON,Loreng,65
Mathys RONDEL,,
Raul GARCIA PIERNA,,
Tadej POGACAR,Peba,165
Gal GLIVAR,Tom N,1
Clement CHAMPOUSSIN,Sambu,1
Yevgeniy FEDOROV,,
Quinten HERMANS,Tom N,1
Cristian RODRIGUEZ,,
Jensen PLOWRIGHT,,
Afonso EULALIO,Gino,3
Ben TULETT,Bicio,25
Juan Pedro LOPEZ,,
Pavel SIVAKOV,,
Arvid DE KLEIJN,,
Tim VAN DIJKE,,
Clement BRAZ AFONSO,,
Timo KIELICH,,
Casper VAN UDEN,,
Madis MIHKELS,Tom F,1
Bruno ARMIRAIL,Gino,3
Oscar ONLEY,Tom F,55
Andrea BAGIOLI,Tom N,1
Mathis LE BERRE,,
Jhonatan NARVAEZ,Tom N,15
Marco HALLER,,
Edoardo AFFINI,Tom N,1
Davide BALLERINI,Gino,6
Primoz ROGLIC,Peba,70
Nathael TESFATSION,,
Matteo SOBRERO,,
Alberto BETTIOL,Gino,5
Felix GROßSCHARTNER,,
Aurelien PARET-PEINTRE,,
Paul SEIXAS,Nele,69
Aaron GATE,,
Ion IZAGIRRE,,
Jonas ABRAHAMSEN,Loreng,24
Michael MATTHEWS,Peba,20
Florian STORK,Peba,4
Jonas RUTSCH,,
Dylan VAN BAARLE,,
Bauke MOLLEMA,Sambu,1
Kasper ASGREEN,Nele,1
Pau MIQUEL,Gino,1
Francesco BUSATTO,Bicio,1
Jan CHRISTEN,gino,45
Alex BAUDIN,Bicio,1
Laurens DE PLUS,,
Louis BARRÈ,Peba,18
Mirco MAESTRI,,
Frank VAN DEN BROEK,,
Lorenzo MILESI,,
Thymen ARENSMAN,Peba,46
Pavel BITTNER,Tom F,16
Lorenzo FORTUNATO,Tom N,15
Yannis VOISARD,,
Tobias Lund ANDRESEN,Gino,3
Kevin VAUQUELIN,Tom F,42
Mikkel Frolich HONORÈ,,
Huub ARTZ,,
Max POOLE,Tom N,26
David GONZALEZ,,
Maurice BALLERSTEDT,,
Tobias BAYER,,
Lennert BELMANS,,
Lindsay DE VYLDER,,
Simon DEHAIRS,,
Silvan DILLIER,,
Aaron DOCKX,,
Jonas GEENS,,
Michael GOGL,,
Hugo HOULE,,
Tim MARSMAN,,
Johan PRICE-PETERSEN,,
Senna REMIJN,,
Jonas RICKAERT,,
Oscar RIESEBEEK,,
Florian SENECHAL,,
Sente SENTJENS,,
Henri UHLIG,,
Luca VERGALLITO,,
Niklas ARNDT,,
Alessandro BORGO,,
Alberto BRUTTOMESSO,,
Roman ERMAKOV,,
Zak ERZEN,,
Kamil GRADEK,,
Rainer KEPPLINGER,,
Fran MIHOLJEVIC,,
Mathijs PAASSCHENS,,
Daniel SKERL,,
Oliver STOCKWELL,,
Max VAN DER MEULEN,,
Vlad VAN MECHELEN,,
Kasper BORREMANS,,
Andrea PASQUALON,,
Leo BISIAUX,,
Cees BOL,,
Oscar CHAMBERLAIN,,
Sander DE PESTEL,,
Stan DEWULF,,
Pierre GAUTHERAT,,
Robbe GHYS,,
Tord GUDMESTAD,,
Noa ISIDORE,,
Anthony L'HOTE,,
Gianluca POLLEFLIET,,
Callum SCOTSON,,
Aubin SPARFEL,,
Mattia AGOSTINACCHIO,,
Samuele BATTISTELLA,,
Markel BELOKI,,
Jefferson Alexander CEPEDA,,
Noah HOBBS,,
Alastair MACKELLAR,,
Darren RAFFERTY,,
Mathias SCHWARZBACHER,,
Colby SIMMONS,,
Jardi Christian VAN DER LEE,,
Cyril BARTHE,,
Lewis BOWER,,
Tom DONNENWIRTH,,
Titouan FONTAINE,,
Axel HUENS,,
Johan JACOBS,,
Josh KENCH,,
Olivier LE GAC,,
Matteo MILAN,,
Matthew WALLS,,
Andrew AUGUST,,
Lucas HAMILTON,,
Kim HEIDUK,,
Michal KWIATKOWKI,,
Peter OXENBERG,,
Brandon Smith RIVERA,,
Oscar RODRIGUEZ,,
Emret SVESTAD-BARDSENG,,
Benjamin NOVAL,,
Koen BOUWMAN,,
Amaury CAPIOT,,
Filippo CONCA,,
Alessandro COVI,,
Dries DE POOTER,,
Davide DE PRETTO,,
Robert DONALDSON,,
Luke DURBRIDGE,,
Alan HATHERLY,,
Asbjorn HELLEMOSE,,
Christopher JUUL-JENSEN,,
Jelte KRIJNSEN,,
Hamish MCKENZIE,,
Luka MEZGEC,,
Rudy PORTER,,
Jasha SUTTERLIN,,
Simone CONSONNI,,
Amanuel GHEBREIGZABHIER,,
Jacopo MOSCA,,
Mathias NORSGAARD,,
Sam OOMEN,,
Edward THEUNS,,
Otto VERGAERDE,,
Ton AERTS,,
Cedric BEULLENS,,
Vito BRAET,,
Lars CRAPS,,
Jasper DE BUYST,,
Steffen DE SCHUYTENEER,,
Matthew FOX,,
Joshua GIDDINS,,
Sebastien GRIGNARD,,
Matys GRISEL,,
Simone GUALDI,,
Mathieu KOCKELMANN,,
Milan MENTEN,,
Robin ORINS,,
Felix ORN-KRISTOFF,,
Lorenzo ROTA,,
Liam SLOCK,,
Lionel TAMINIAUX,,
Reuben THOMPSON,,
Luca VAN BOVEN,,
Roel VAN SINTMAARTENSDIJK,,
Baptiste VEISTROFFER,,
Jose ARCAS,,
Carlos CANAL,,
Davide FORMOLO,,
Manlio MORO,,
Pavel NOVAK,,
Diego PESCADOR,,
Nairo QUINTANA,,
Gonzalo SERRANO,,
Albert TORRES,,
Ruben GUERREIRO,,
Antonio PEDRERO,,
George BENNETT,,
Guillaume BOIVIN,,
Simon CLARKE,,
